State,Domain,Reporting Program,Measure Name,Measure Abbreviation,Rate Definition,FFY,Population,Methodology,State Rate,Number of States Reporting,Median,Bottom Quartile,Top Quartile,Notes,State Specific Comments,Source,Rate Used in Calculating State Mean and Median
Alabama,Dental and Oral Health Services,Child Core Set,Percentage of Eligibles Who Received Preventive Dental Services: Ages 1-20,PDENT-CH,Percentage with at Least 1 Preventive Dental Service: Ages 1-20,2018,Medicaid only,Administrative,47.6,51,48,44.4,52.5,,None,"Mathematica analysis of FFY 2018 Form CMS-416 reports (annual EPSDT report), Lines 1b and 12b.",Yes
Alabama,Maternal and Perinatal Health,Child Core Set,Contraceptive Care: All Women Ages 15-20,CCW-CH,Percentage of Women at Risk for Unintended Pregnancy Provided a Most Effective or Moderately Effective Method of Contraception: Ages 15 to 20,2018,Medicaid only,Administrative,33.3,26,28.1,22.5,33.3,,Medicaid rates include FFS and PCCM populations.,Mathematica analysis of MACPro reports for the FFY 2018 reporting cycle.,Yes
Alabama,Maternal and Perinatal Health,Child Core Set,Contraceptive Care: All Women Ages 15-20,CCW-CH,Percentage of Women at Risk for Unintended Pregnancy Provided a Long-Acting Reversible Method of Contraception: Ages 15 to 20,2018,Medicaid only,Administrative,2.7,25,5.4,4.2,7.2,,Medicaid rates include FFS and PCCM populations.,Mathematica analysis of MACPro reports for the FFY 2018 reporting cycle.,Yes
Alabama,Maternal and Perinatal Health,Child Core Set,Contraceptive Care: All Women Ages 15-20,CCW-CH,Percentage of Women at Risk for Unintended Pregnancy Provided a Most Effective or Moderately Effective Method of Contraception: Ages 15 to 20,2018,CHIP only,Administrative,17.7,26,28.1,22.5,33.3,,CHIP rates include separate CHIP population. Rates exclude children enrolled in Medicaid-expansion CHIP; these children are included in the state's Medicaid rates.,Mathematica analysis of MACPro reports for the FFY 2018 reporting cycle.,No
Alabama,Maternal and Perinatal Health,Child Core Set,Contraceptive Care: All Women Ages 15-20,CCW-CH,Percentage of Women at Risk for Unintended Pregnancy Provided a Long-Acting Reversible Method of Contraception: Ages 15 to 20,2018,CHIP only,Administrative,1.0,25,5.4,4.2,7.2,,CHIP rates include separate CHIP population. Rates exclude children enrolled in Medicaid-expansion CHIP; these children are included in the state's Medicaid rates.,Mathematica analysis of MACPro reports for the FFY 2018 reporting cycle.,No
Alabama,Maternal and Perinatal Health,Child Core Set,Contraceptive Care: Postpartum Women Ages 15-20,CCP-CH,Percentage of Postpartum Women Provided a Most Effective or Moderately Effective Method of Contraception Within 3 Days of Delivery: Ages 15-20,2018,Medicaid only,Administrative,3.2,31,3.4,1.6,6.2,,Medicaid rates include FFS and PCCM populations.,Mathematica analysis of MACPro reports for the FFY 2018 reporting cycle.,Yes
Alabama,Maternal and Perinatal Health,Child Core Set,Contraceptive Care: Postpartum Women Ages 15-20,CCP-CH,Percentage of Postpartum Women Provided a Most Effective or Moderately Effective Method of Contraception Within 60 Days of Delivery: Ages 15-20,2018,Medicaid only,Administrative,45.5,31,40.8,30.8,46.1,,Medicaid rates include FFS and PCCM populations.,Mathematica analysis of MACPro reports for the FFY 2018 reporting cycle.,Yes
Alabama,Maternal and Perinatal Health,Child Core Set,Contraceptive Care: Postpartum Women Ages 15-20,CCP-CH,Percentage of Postpartum Women Provided a Long-Acting Reversible Method of Contraception Within 3 Days of Delivery: Ages 15-20,2018,Medicaid only,Administrative,0.9,31,1.4,0.5,2.7,,Medicaid rates include FFS and PCCM populations.,Mathematica analysis of MACPro reports for the FFY 2018 reporting cycle.,Yes
Alabama,Maternal and Perinatal Health,Child Core Set,Contraceptive Care: Postpartum Women Ages 15-20,CCP-CH,Percentage of Postpartum Women Provided a Long-Acting Reversible Method of Contraception Within 60 Days of Delivery: Ages 15-20,2018,Medicaid only,Administrative,13.1,31,16.3,10.7,21.4,,Medicaid rates include FFS and PCCM populations.,Mathematica analysis of MACPro reports for the FFY 2018 reporting cycle.,Yes
Alabama,Maternal and Perinatal Health,Child Core Set,Contraceptive Care: Postpartum Women Ages 15-20,CCP-CH,Percentage of Postpartum Women Provided a Most Effective or Moderately Effective Method of Contraception Within 3 Days of Delivery: Ages 15-20,2018,CHIP only,Administrative,NR,31,3.4,1.6,6.2,NR = State did not report the measure for this population,CHIP rates include separate CHIP population. Rates exclude children enrolled in Medicaid-expansion CHIP; these children are included in the state's Medicaid rates.,Mathematica analysis of MACPro reports for the FFY 2018 reporting cycle.,No
Alabama,Maternal and Perinatal Health,Child Core Set,Contraceptive Care: Postpartum Women Ages 15-20,CCP-CH,Percentage of Postpartum Women Provided a Most Effective or Moderately Effective Method of Contraception Within 60 Days of Delivery: Ages 15-20,2018,CHIP only,Administrative,23.7,31,40.8,30.8,46.1,,CHIP rates include separate CHIP population. Rates exclude children enrolled in Medicaid-expansion CHIP; these children are included in the state's Medicaid rates.,Mathematica analysis of MACPro reports for the FFY 2018 reporting cycle.,No
Alabama,Maternal and Perinatal Health,Child Core Set,Contraceptive Care: Postpartum Women Ages 15-20,CCP-CH,Percentage of Postpartum Women Provided a Long-Acting Reversible Method of Contraception Within 3 Days of Delivery: Ages 15-20,2018,CHIP only,Administrative,NR,31,1.4,0.5,2.7,NR = State did not report the measure for this population,CHIP rates include separate CHIP population. Rates exclude children enrolled in Medicaid-expansion CHIP; these children are included in the state's Medicaid rates.,Mathematica analysis of MACPro reports for the FFY 2018 reporting cycle.,No
Alabama,Maternal and Perinatal Health,Child Core Set,Contraceptive Care: Postpartum Women Ages 15-20,CCP-CH,Percentage of Postpartum Women Provided a Long-Acting Reversible Method of Contraception Within 60 Days of Delivery: Ages 15-20,2018,CHIP only,Administrative,18.6,31,16.3,10.7,21.4,,CHIP rates include separate CHIP population. Rates exclude children enrolled in Medicaid-expansion CHIP; these children are included in the state's Medicaid rates.,Mathematica analysis of MACPro reports for the FFY 2018 reporting cycle.,No
Alabama,Maternal and Perinatal Health,Child Core Set,"Live Births Weighing Less Than 2,500 Grams",LBW-CH,"Percentage of Live Births that Weighed Less than 2,500 Grams",2018,Medicaid only,Administrative,8.9,25,9.1,10.5,8.3,,Medicaid rate includes FFS and PCCM populations.,Mathematica analysis of MACPro reports for the FFY 2018 reporting cycle.,Yes
Alabama,Maternal and Perinatal Health,Child Core Set,"Live Births Weighing Less Than 2,500 Grams",LBW-CH,"Percentage of Live Births that Weighed Less than 2,500 Grams",2018,CHIP only,Administrative,11.5,25,9.1,10.5,8.3,,CHIP rate includes separate CHIP population. Rate excludes children enrolled in Medicaid-expansion CHIP; these children are included in the state's Medicaid rates.,Mathematica analysis of MACPro reports for the FFY 2018 reporting cycle.,No
Alabama,Maternal and Perinatal Health,Child Core Set,Prenatal and Postpartum Care: Timeliness of Prenatal Care,PPC-CH,Percentage of Women Delivering a Live Birth with a Prenatal Care Visit in the First Trimester or within 42 Days of Enrollment in Medicaid or CHIP,2018,Medicaid only,NR,NR,39,80.6,71.3,86.3,NR = State did not report the measure for this population,None,Mathematica analysis of MACPro reports for the FFY 2018 reporting cycle.,
Alabama,Maternal and Perinatal Health,Child Core Set,Prenatal and Postpartum Care: Timeliness of Prenatal Care,PPC-CH,Percentage of Women Delivering a Live Birth with a Prenatal Care Visit in the First Trimester or within 42 Days of Enrollment in Medicaid or CHIP,2018,CHIP only,Administrative,62.6,39,80.6,71.3,86.3,,"Rate includes separate CHIP population. Rate excludes children enrolled in Medicaid-expansion CHIP. Rate was calculated using CHIP claims data matched with state vital records. Markers of prenatal care are not available in claims data, so the state used the month of gestation when prenatal care began, as recorded in state vital records, to determine whether prenatal care began during the first trimester.",Mathematica analysis of MACPro reports for the FFY 2018 reporting cycle.,Yes
Alabama,Primary Care Access and Preventive Care,Child Core Set,Adolescent Well-Care Visits: Ages 12-21,AWC-CH,Percentage with at Least 1 Well-Care Visit with a Primary Care Practitioner or an Obstetrical/Gynecological Practitioner: Ages 12-21,2018,Medicaid only,Administrative,46.7,47,48.9,40,57,,Medicaid rate includes FFS and PCCM populations.,Mathematica analysis of MACPro reports for the FFY 2018 reporting cycle.,Yes
Alabama,Primary Care Access and Preventive Care,Child Core Set,Adolescent Well-Care Visits: Ages 12-21,AWC-CH,Percentage with at Least 1 Well-Care Visit with a Primary Care Practitioner or an Obstetrical/Gynecological Practitioner: Ages 12-21,2018,CHIP only,Administrative,34.8,47,48.9,40,57,,CHIP rate includes separate CHIP population. Rate excludes children enrolled in Medicaid-expansion CHIP; these children are included in the state's Medicaid rate.,Mathematica analysis of MACPro reports for the FFY 2018 reporting cycle.,No
Alabama,Primary Care Access and Preventive Care,Child Core Set,Childhood Immunization Status: Age 2,CIS-CH,Percentage Up-to-Date on Immunizations (Combination 3) by their Second Birthday,2018,Medicaid only,Administrative,66.5,43,69.5,64,73.4,,Medicaid rate includes FFS and PCCM populations. Data source is state immunization registry.,Mathematica analysis of MACPro reports for the FFY 2018 reporting cycle.,Yes
Alabama,Primary Care Access and Preventive Care,Child Core Set,Childhood Immunization Status: Age 2,CIS-CH,Percentage Up-to-Date on Immunizations (Combination 3) by their Second Birthday,2018,CHIP only,Administrative,71.6,43,69.5,64,73.4,,CHIP rate includes separate CHIP population. Rate excludes children enrolled in Medicaid-expansion CHIP; these children are included in the state's Medicaid rate. Data source is state immunization registry.,Mathematica analysis of MACPro reports for the FFY 2018 reporting cycle.,No
Alabama,Primary Care Access and Preventive Care,Child Core Set,Children and Adolescents' Access to Primary Care Practitioners: Ages 12 Months-19 Years,CAP-CH,Percentage with a PCP Visit in the Past Year: Ages 12-24 Months,2018,Medicaid only,Administrative,94.8,45,95.7,94.6,96.7,,Medicaid rates include FFS and PCCM populations.,Mathematica analysis of MACPro reports for the FFY 2018 reporting cycle.,Yes
Alabama,Primary Care Access and Preventive Care,Child Core Set,Children and Adolescents' Access to Primary Care Practitioners: Ages 12 Months-19 Years,CAP-CH,Percentage with a PCP Visit in the Past Year: Ages 25 Months-6 Years,2018,Medicaid only,Administrative,87.6,45,87.7,86,90.1,,Medicaid rates include FFS and PCCM populations.,Mathematica analysis of MACPro reports for the FFY 2018 reporting cycle.,Yes
Alabama,Primary Care Access and Preventive Care,Child Core Set,Children and Adolescents' Access to Primary Care Practitioners: Ages 12 Months-19 Years,CAP-CH,Percentage with a PCP Visit in the Past Two Years: Ages 7-11 Years,2018,Medicaid only,Administrative,90.1,45,91.1,89.2,93.8,,Medicaid rates include FFS and PCCM populations.,Mathematica analysis of MACPro reports for the FFY 2018 reporting cycle.,Yes
Alabama,Primary Care Access and Preventive Care,Child Core Set,Children and Adolescents' Access to Primary Care Practitioners: Ages 12 Months-19 Years,CAP-CH,Percentage with a PCP Visit in the Past Two Years: Ages 12-19 Years,2018,Medicaid only,Administrative,87.7,45,90.6,87.7,92.7,,Medicaid rates include FFS and PCCM populations.,Mathematica analysis of MACPro reports for the FFY 2018 reporting cycle.,Yes
Alabama,Primary Care Access and Preventive Care,Child Core Set,Children and Adolescents' Access to Primary Care Practitioners: Ages 12 Months-19 Years,CAP-CH,Percentage with a PCP Visit in the Past Year: Ages 12-24 Months,2018,CHIP only,Administrative,98.5,45,95.7,94.6,96.7,,CHIP rates include separate CHIP population. Rates exclude children enrolled in Medicaid-expansion CHIP; these children are included in the state's Medicaid rates.,Mathematica analysis of MACPro reports for the FFY 2018 reporting cycle.,No
Alabama,Primary Care Access and Preventive Care,Child Core Set,Children and Adolescents' Access to Primary Care Practitioners: Ages 12 Months-19 Years,CAP-CH,Percentage with a PCP Visit in the Past Year: Ages 25 Months-6 Years,2018,CHIP only,Administrative,92.7,45,87.7,86,90.1,,CHIP rates include separate CHIP population. Rates exclude children enrolled in Medicaid-expansion CHIP; these children are included in the state's Medicaid rates.,Mathematica analysis of MACPro reports for the FFY 2018 reporting cycle.,No
Alabama,Primary Care Access and Preventive Care,Child Core Set,Children and Adolescents' Access to Primary Care Practitioners: Ages 12 Months-19 Years,CAP-CH,Percentage with a PCP Visit in the Past Two Years: Ages 7-11 Years,2018,CHIP only,Administrative,94.8,45,91.1,89.2,93.8,,CHIP rates include separate CHIP population. Rates exclude children enrolled in Medicaid-expansion CHIP; these children are included in the state's Medicaid rates.,Mathematica analysis of MACPro reports for the FFY 2018 reporting cycle.,No
Alabama,Primary Care Access and Preventive Care,Child Core Set,Children and Adolescents' Access to Primary Care Practitioners: Ages 12 Months-19 Years,CAP-CH,Percentage with a PCP Visit in the Past Two Years: Ages 12-19 Years,2018,CHIP only,Administrative,91.2,45,90.6,87.7,92.7,,CHIP rates include separate CHIP population. Rates exclude children enrolled in Medicaid-expansion CHIP; these children are included in the state's Medicaid rates.,Mathematica analysis of MACPro reports for the FFY 2018 reporting cycle.,No
Alabama,Primary Care Access and Preventive Care,Child Core Set,Chlamydia Screening in Women Ages 16-20,CHL-CH,Percentage of Sexually Active Women Screened for Chlamydia: Ages 16-20,2018,Medicaid only,Administrative,12.7,44,50.1,44.6,58.5,,Medicaid rate includes FFS and PCCM populations.,Mathematica analysis of MACPro reports for the FFY 2018 reporting cycle.,Yes
Alabama,Primary Care Access and Preventive Care,Child Core Set,Chlamydia Screening in Women Ages 16-20,CHL-CH,Percentage of Sexually Active Women Screened for Chlamydia: Ages 16-20,2018,CHIP only,Administrative,31.6,44,50.1,44.6,58.5,,CHIP rate includes separate CHIP population. Rate excludes children enrolled in Medicaid-expansion CHIP; these children are included in the state's Medicaid rate.,Mathematica analysis of MACPro reports for the FFY 2018 reporting cycle.,No
Alabama,Primary Care Access and Preventive Care,Child Core Set,Developmental Screening in the First Three Years of Life: Ages 0-3,DEV-CH,"Percentage Screened for Risk of Developmental, Behavioral, and Social Delays Using a Standardized Screening Tool: Ages 0-3",2018,Medicaid only,NR,NR,25,42.2,26.2,55.2,NR = State did not report the measure for this population,None,Mathematica analysis of MACPro reports for the FFY 2018 reporting cycle.,
Alabama,Primary Care Access and Preventive Care,Child Core Set,Developmental Screening in the First Three Years of Life: Ages 0-3,DEV-CH,"Percentage Screened for Risk of Developmental, Behavioral, and Social Delays Using a Standardized Screening Tool: Ages 0-3",2018,CHIP only,Administrative,38.4,25,42.2,26.2,55.2,,Rate includes separate CHIP population. Rate excludes children enrolled in Medicaid-expansion CHIP.,Mathematica analysis of MACPro reports for the FFY 2018 reporting cycle.,Yes
Alabama,Primary Care Access and Preventive Care,Child Core Set,Immunizations for Adolescents: Age 13,IMA-CH,Percentage Completing the Human Papillomavirus (HPV) Vaccine Series by Their 13th Birthday,2018,Medicaid only,Administrative,39.4,44,32.3,23.8,40.3,,Medicaid rates include FFS and PCCM populations.,Mathematica analysis of MACPro reports for the FFY 2018 reporting cycle.,Yes
Alabama,Primary Care Access and Preventive Care,Child Core Set,Immunizations for Adolescents: Age 13,IMA-CH,Percentage Receiving Meningococcal Conjugate and Tdap Vaccines (Combination 1) by their 13th Birthday,2018,Medicaid only,Administrative,79.8,43,77.3,64.3,84.4,,Medicaid rates include FFS and PCCM populations.,Mathematica analysis of MACPro reports for the FFY 2018 reporting cycle.,Yes
Alabama,Primary Care Access and Preventive Care,Child Core Set,Immunizations for Adolescents: Age 13,IMA-CH,Percentage Completing the Human Papillomavirus (HPV) Vaccine Series by Their 13th Birthday,2018,CHIP only,Administrative,25.5,44,32.3,23.8,40.3,,CHIP rates include separate CHIP population. Rates exclude children enrolled in Medicaid-expansion CHIP; these children are included in the state's Medicaid rates.,Mathematica analysis of MACPro reports for the FFY 2018 reporting cycle.,No
Alabama,Primary Care Access and Preventive Care,Child Core Set,Immunizations for Adolescents: Age 13,IMA-CH,Percentage Receiving Meningococcal Conjugate and Tdap Vaccines (Combination 1) by their 13th Birthday,2018,CHIP only,Administrative,71.2,43,77.3,64.3,84.4,,CHIP rates include separate CHIP population. Rates exclude children enrolled in Medicaid-expansion CHIP; these children are included in the state's Medicaid rates.,Mathematica analysis of MACPro reports for the FFY 2018 reporting cycle.,No
Alabama,Primary Care Access and Preventive Care,Child Core Set,Weight Assessment and Counseling for Nutrition and Physical Activity for Children/Adolescents - Body Mass Index Assessment for Children/Adolescents: Ages 3-17,WCC-CH,Percentage who had an Outpatient Visit with a Primary Care Practitioner or Obstetrical/Gynecological Practitioner who had Body Mass Index Percentile Documented in the Medical Record: Ages 3-17,2018,Medicaid only,Administrative,17.1,37,69.7,39.7,77.2,,Medicaid rate includes FFS and PCCM populations.,Mathematica analysis of MACPro reports for the FFY 2018 reporting cycle.,Yes
Alabama,Primary Care Access and Preventive Care,Child Core Set,Weight Assessment and Counseling for Nutrition and Physical Activity for Children/Adolescents - Body Mass Index Assessment for Children/Adolescents: Ages 3-17,WCC-CH,Percentage who had an Outpatient Visit with a Primary Care Practitioner or Obstetrical/Gynecological Practitioner who had Body Mass Index Percentile Documented in the Medical Record: Ages 3-17,2018,CHIP only,Administrative,24.8,37,69.7,39.7,77.2,,"CHIP rate includes separate CHIP population. Rate excludes children enrolled in Medicaid-expansion CHIP; these children are included in the state's Medicaid rate. State attributes rate increase from FFY 2017 to the state's primary care value-based payment initiative, which incentivizes preventive encounters, such as BMI assessments.",Mathematica analysis of MACPro reports for the FFY 2018 reporting cycle.,No
Alabama,Primary Care Access and Preventive Care,Child Core Set,Well-Child Visits in the First 15 Months of Life,W15-CH,Percentage of Children who had 6 or More Well-Child Visits with a Primary Care Practitioner during the First 15 Months of Life,2018,Medicaid only,Administrative,57.8,47,63.2,57.3,69.5,,Medicaid rate includes FFS and PCCM populations.,Mathematica analysis of MACPro reports for the FFY 2018 reporting cycle.,Yes
